               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10563,            0.025958,            0.034035,           0.0030801,             0.71822,            0.026328,           0.0080832,            0.060676,             0.01204,            0.021345,            0.070833,           0.0032407,           0.0032407
                   1,            0.075436,            0.024661,             0.02133,             0.87148,            0.046296,            0.070377,            0.030075,            0.055457,            0.013512,            0.017682,            0.040774,           0.0065149,           0.0065149
                   2,            0.071461,            0.022105,            0.016773,             0.80441,            0.093034,             0.10263,            0.044225,            0.054927,            0.010179,            0.017429,            0.010655,           0.0097291,           0.0097291
                   3,            0.064006,            0.021302,             0.01663,             0.76013,              0.1677,             0.12704,            0.048671,            0.043937,           0.0081264,            0.017492,             0.00973,             0.00973,             0.00973
                   4,             0.05949,            0.020598,            0.015801,             0.79302,             0.18621,             0.16145,             0.06801,            0.042998,            0.007385,            0.018105,             0.00973,             0.00973,             0.00973
                   5,            0.055669,            0.020111,            0.014794,             0.83031,             0.15491,             0.17249,            0.082595,            0.036847,           0.0072685,             0.01766,             0.00964,             0.00964,             0.00964
                   6,            0.052778,            0.019723,             0.01421,             0.75526,             0.18959,             0.16472,            0.082678,            0.038946,            0.007094,            0.018011,             0.00955,             0.00955,             0.00955
                   7,            0.050748,            0.018356,            0.013115,             0.85534,             0.15182,             0.18869,              0.1003,            0.034766,           0.0068199,            0.016222,             0.00946,             0.00946,             0.00946
                   8,            0.048647,            0.018905,            0.012371,             0.90617,             0.13125,             0.19038,            0.093988,            0.035527,           0.0070869,            0.018365,             0.00937,             0.00937,             0.00937
                   9,              0.0507,            0.019076,            0.013441,             0.87196,             0.14051,             0.19242,             0.10147,            0.034701,           0.0068641,            0.017924,             0.00928,             0.00928,             0.00928
                  10,             0.04723,            0.019265,            0.012223,             0.87417,             0.12713,             0.20086,             0.11269,            0.030193,           0.0068397,            0.016267,             0.00919,             0.00919,             0.00919
                  11,            0.046437,            0.018822,            0.010831,              0.8531,             0.22766,             0.29032,             0.16402,            0.035475,           0.0068716,            0.016718,              0.0091,              0.0091,              0.0091
                  12,            0.046352,            0.017995,            0.012189,             0.82379,             0.24897,             0.30711,             0.16334,            0.034034,           0.0064087,             0.01676,             0.00901,             0.00901,             0.00901
                  13,            0.043467,            0.017557,            0.011471,             0.85491,             0.19591,              0.2864,             0.12729,            0.032709,           0.0067528,            0.016641,             0.00892,             0.00892,             0.00892
                  14,            0.043619,            0.018285,            0.010789,             0.84571,             0.24953,             0.29952,             0.18316,            0.031064,           0.0065869,             0.01734,             0.00883,             0.00883,             0.00883
                  15,            0.043879,             0.01758,            0.010346,             0.74315,             0.29038,             0.31177,             0.17999,            0.029058,           0.0064712,            0.016803,             0.00874,             0.00874,             0.00874
                  16,            0.041103,            0.017485,            0.010141,             0.75737,             0.30346,             0.31119,             0.16745,            0.032027,            0.007018,            0.016006,             0.00865,             0.00865,             0.00865
                  17,             0.04197,            0.017078,            0.010627,             0.70827,             0.28421,             0.33322,             0.18912,            0.031364,           0.0064365,            0.015788,             0.00856,             0.00856,             0.00856
                  18,            0.043797,            0.018191,           0.0092882,             0.74978,             0.27843,             0.29143,             0.13925,            0.032773,           0.0068322,            0.015804,             0.00847,             0.00847,             0.00847
                  19,            0.041229,            0.017117,           0.0097114,             0.80228,             0.29206,             0.35482,             0.18744,            0.030314,            0.006351,            0.016282,             0.00838,             0.00838,             0.00838
                  20,            0.041851,             0.01688,           0.0088463,             0.80109,             0.32367,              0.3129,             0.17251,             0.03066,           0.0062273,            0.015241,             0.00829,             0.00829,             0.00829
                  21,            0.039677,            0.017364,           0.0095002,             0.82635,             0.34766,             0.34443,             0.17504,            0.028281,           0.0060806,            0.014292,              0.0082,              0.0082,              0.0082
                  22,            0.040195,            0.017101,           0.0091309,             0.76751,             0.35843,             0.37265,             0.21683,             0.03156,            0.006134,            0.014533,             0.00811,             0.00811,             0.00811
                  23,            0.039977,            0.016296,           0.0089527,             0.83989,             0.33638,             0.36533,              0.1952,            0.033788,           0.0060057,            0.013573,             0.00802,             0.00802,             0.00802
                  24,            0.039395,            0.015771,           0.0080638,             0.83026,             0.33899,             0.35627,             0.20905,            0.032132,           0.0061964,            0.013337,             0.00793,             0.00793,             0.00793
                  25,            0.039642,            0.015778,           0.0076719,             0.89015,             0.37163,             0.39118,             0.24135,            0.029274,           0.0060813,            0.013768,             0.00784,             0.00784,             0.00784
                  26,            0.038473,             0.01643,           0.0077812,             0.84139,             0.34845,             0.38403,             0.22669,            0.029716,           0.0061429,            0.013968,             0.00775,             0.00775,             0.00775
                  27,             0.03928,            0.015891,           0.0083536,             0.85037,             0.35439,             0.39122,             0.21886,            0.029399,           0.0059458,            0.014102,             0.00766,             0.00766,             0.00766
                  28,            0.037276,            0.016088,           0.0078368,             0.85508,             0.35289,             0.39415,             0.23787,            0.026626,           0.0060967,             0.01482,             0.00757,             0.00757,             0.00757
                  29,            0.037696,            0.016257,           0.0077233,              0.8296,             0.36572,             0.38788,             0.22377,            0.029821,           0.0059774,            0.014924,             0.00748,             0.00748,             0.00748
